epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.6725,1.79253,2.89974,1.65158,0.5614,0.5,0.5225,0.35294,1.15824,1.81489,1.17241,0.00024,0.00024,0.00024
2,26.7943,1.03922,1.30023,1.10181,0.46074,0.70098,0.46407,0.288,1.06594,4.00916,1.19836,0.00049505,0.00049505,0.00049505
3,37.4485,1.09294,1.21359,1.13252,0.05295,0.66176,0.04787,0.0271,1.37544,45.8885,1.60767,0.000744952,0.000744952,0.000744952
4,46.1109,1.13831,1.12354,1.15833,0.00738,0.30882,0.00443,0.00173,2.93721,inf,4.12143,0.000989706,0.000989706,0.000989706
5,54.3834,1.18501,1.17943,1.1944,0.00445,0.27941,0.00284,0.00126,2.761,inf,16.7974,0.00122931,0.00122931,0.00122931
6,64.7838,1.29748,1.31574,1.22677,0.00155,0.09804,0.00096,0.00022,4.13228,inf,39.0586,0.00146377,0.00146377,0.00146377
7,73.5526,1.24804,1.2164,1.2108,0.00039,0.02451,0.00021,8e-05,4.19803,inf,44.5622,0.00169308,0.00169308,0.00169308
8,82.0089,1.22858,1.04842,1.17471,0.00185,0.10784,0.00104,0.0004,3.87684,69.6685,17.352,0.0018614,0.0018614,0.0018614
9,90.6914,1.20758,1.00736,1.15994,0.00284,0.17157,0.00168,0.0006,4.10489,inf,22.6803,0.0018416,0.0018416,0.0018416
10,99.3586,1.20321,1.09087,1.18749,0.38552,0.48286,0.32317,0.15849,1.61106,5.05615,1.75766,0.0018218,0.0018218,0.0018218
11,108.558,1.1637,1.00394,1.17196,0.25285,0.28431,0.13576,0.07315,1.79398,4.56706,1.83461,0.001802,0.001802,0.001802
12,117.554,1.15807,0.94073,1.13474,0.50253,0.29712,0.25713,0.13334,2.07437,2.47214,2.12947,0.0017822,0.0017822,0.0017822
13,126.299,1.14022,0.94792,1.13407,0.69266,0.56863,0.59284,0.36351,1.47791,1.43813,1.42562,0.0017624,0.0017624,0.0017624
14,135.798,1.08406,0.93011,1.11861,0.28911,0.36275,0.18802,0.11641,1.51293,2.80539,1.36676,0.0017426,0.0017426,0.0017426
15,144.57,1.07364,0.86873,1.08836,0.71679,0.57843,0.6195,0.40313,1.30374,2.0614,1.26526,0.0017228,0.0017228,0.0017228
16,153.409,1.08189,0.90703,1.11315,0.6152,0.68967,0.61321,0.36264,1.47873,1.62992,1.38062,0.001703,0.001703,0.001703
17,162.23,1.05496,0.8865,1.0953,0.81919,0.7551,0.80379,0.50972,1.2488,1.20154,1.26042,0.0016832,0.0016832,0.0016832
18,171.509,1.05149,0.91587,1.11154,0.69029,0.80392,0.7196,0.49617,1.08645,1.66323,1.15602,0.0016634,0.0016634,0.0016634
19,180.136,1.0248,0.86276,1.0684,0.79751,0.75,0.81406,0.56619,1.06965,1.13038,1.12984,0.0016436,0.0016436,0.0016436
20,192.174,1,0.84265,1.07046,0.73983,0.7806,0.76365,0.53632,1.06428,1.0989,1.1399,0.0016238,0.0016238,0.0016238
21,200.915,0.94961,0.7879,1.03619,0.82893,0.77451,0.82489,0.55865,1.12924,1.1955,1.17226,0.001604,0.001604,0.001604
22,209.938,1.03089,0.84856,1.07269,0.70516,0.72059,0.70866,0.46745,1.162,1.1386,1.19564,0.0015842,0.0015842,0.0015842
23,219.465,0.93924,0.74491,1.02321,0.79766,0.86275,0.83102,0.56408,1.14741,0.97044,1.16657,0.0015644,0.0015644,0.0015644
24,228.968,0.98508,0.75431,1.03042,0.84248,0.839,0.86649,0.61926,1.03104,0.88192,1.08461,0.0015446,0.0015446,0.0015446
25,237.862,0.92209,0.75104,1.01732,0.73538,0.84314,0.8197,0.58796,1.02152,0.91394,1.0748,0.0015248,0.0015248,0.0015248
26,246.684,0.91807,0.72303,1.03276,0.86018,0.75393,0.84588,0.61856,1.00142,0.94971,1.07141,0.001505,0.001505,0.001505
27,255.365,0.88501,0.71801,1.04179,0.91011,0.82353,0.87998,0.63967,0.96426,0.77921,1.06625,0.0014852,0.0014852,0.0014852
28,264.799,0.92894,0.70101,1.02166,0.83928,0.85784,0.88428,0.62885,0.97603,0.83217,1.06447,0.0014654,0.0014654,0.0014654
29,273.509,0.92911,0.74115,1.03658,0.88783,0.82353,0.86555,0.61379,1.00546,0.81204,1.07344,0.0014456,0.0014456,0.0014456
30,282.024,0.87091,0.69371,1.00527,0.87296,0.84209,0.85371,0.61217,0.96415,0.82237,1.0468,0.0014258,0.0014258,0.0014258
31,291.067,0.89377,0.69921,1.02995,0.88767,0.83824,0.87676,0.63641,1.01398,0.79147,1.04498,0.001406,0.001406,0.001406
32,299.944,0.90028,0.69633,1.00453,0.82966,0.88339,0.88412,0.62047,1.02198,0.87653,1.05897,0.0013862,0.0013862,0.0013862
33,308.435,0.8775,0.65936,1.00269,0.8153,0.84388,0.8606,0.633,0.97362,0.90071,1.04545,0.0013664,0.0013664,0.0013664
34,317.185,0.8897,0.6887,1.03594,0.83811,0.86765,0.90281,0.66345,0.9866,0.78256,1.02782,0.0013466,0.0013466,0.0013466
35,326.321,0.83146,0.65413,1.00104,0.81197,0.85784,0.85906,0.64181,0.95773,0.8589,1.0414,0.0013268,0.0013268,0.0013268
36,335.277,0.8719,0.66394,1.00505,0.84512,0.7757,0.84169,0.57732,1.05272,0.85084,1.08361,0.001307,0.001307,0.001307
